departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_id_uta_2020
general jose de san martin,66,salta,2022,22,dengue,11,mayores de 65 anos,1,66056
general jose de san martin,66,salta,2022,4,dengue,5,de 10 a 14 anos,1,66056
general jose de san martin,66,salta,2022,11,dengue,5,de 10 a 14 anos,1,66056
general jose de san martin,66,salta,2022,12,dengue,5,de 10 a 14 anos,4,66056
general jose de san martin,66,salta,2022,13,dengue,5,de 10 a 14 anos,7,66056
general jose de san martin,66,salta,2022,14,dengue,5,de 10 a 14 anos,7,66056
general jose de san martin,66,salta,2022,15,dengue,5,de 10 a 14 anos,5,66056
general jose de san martin,66,salta,2022,16,dengue,5,de 10 a 14 anos,4,66056
general jose de san martin,66,salta,2022,17,dengue,5,de 10 a 14 anos,7,66056
general jose de san martin,66,salta,2022,18,dengue,5,de 10 a 14 anos,5,66056
general jose de san martin,66,salta,2022,19,dengue,5,de 10 a 14 anos,2,66056
general jose de san martin,66,salta,2022,12,dengue,11,mayores de 65 anos,1,66056
general jose de san martin,66,salta,2022,13,dengue,11,mayores de 65 anos,1,66056
general jose de san martin,66,salta,2022,14,dengue,11,mayores de 65 anos,4,66056
general jose de san martin,66,salta,2022,15,dengue,11,mayores de 65 anos,2,66056
general jose de san martin,66,salta,2022,16,dengue,11,mayores de 65 anos,2,66056
general jose de san martin,66,salta,2022,17,dengue,11,mayores de 65 anos,3,66056
general jose de san martin,66,salta,2022,18,dengue,11,mayores de 65 anos,3,66056
general jose de san martin,66,salta,2022,19,dengue,11,mayores de 65 anos,1,66056
general jose de san martin,66,salta,2022,20,dengue,11,mayores de 65 anos,1,66056
general jose de san martin,66,salta,2022,12,dengue,2,de 13 a 24 meses,1,66056
general jose de san martin,66,salta,2022,17,dengue,2,de 13 a 24 meses,1,66056
oran,66,salta,2022,16,dengue,6,de 15 a 19 anos,1,66126
oran,66,salta,2022,19,dengue,8,de 25 a 34 anos,1,66126
oran,66,salta,2022,13,dengue,9,de 35 a 44 anos,1,66126
oran,66,salta,2022,14,dengue,9,de 35 a 44 anos,1,66126
oran,66,salta,2022,17,dengue,9,de 35 a 44 anos,2,66126
oran,66,salta,2022,20,dengue,9,de 35 a 44 anos,1,66126
oran,66,salta,2022,21,dengue,9,de 35 a 44 anos,1,66126
oran,66,salta,2022,23,dengue,9,de 35 a 44 anos,1,66126
oran,66,salta,2022,14,dengue,11,mayores de 65 anos,1,66126
oran,66,salta,2022,19,dengue,11,mayores de 65 anos,1,66126
oran,66,salta,2022,21,dengue,11,mayores de 65 anos,1,66126
oran,66,salta,2022,18,dengue,5,de 10 a 14 anos,1,66126
oran,66,salta,2022,14,dengue,11,mayores de 65 anos,1,66126
oran,66,salta,2022,15,dengue,11,mayores de 65 anos,1,66126
oran,66,salta,2022,18,dengue,11,mayores de 65 anos,1,66126
rivadavia,66,mendoza,2022,15,dengue,6,de 15 a 19 anos,1,50084
rivadavia,66,mendoza,2022,17,dengue,6,de 15 a 19 anos,2,50084
rivadavia,66,mendoza,2022,14,dengue,7,de 20 a 24 anos,1,50084
rivadavia,66,mendoza,2022,17,dengue,7,de 20 a 24 anos,1,50084
rivadavia,66,mendoza,2022,18,dengue,7,de 20 a 24 anos,1,50084
rivadavia,66,mendoza,2022,19,dengue,7,de 20 a 24 anos,1,50084
rivadavia,66,mendoza,2022,22,dengue,7,de 20 a 24 anos,1,50084
rivadavia,66,mendoza,2022,17,dengue,4,de 5 a 9 anos,1,50084
rivadavia,66,mendoza,2022,15,dengue,8,de 25 a 34 anos,1,50084
rivadavia,66,mendoza,2022,16,dengue,8,de 25 a 34 anos,2,50084
rivadavia,66,mendoza,2022,12,dengue,9,de 35 a 44 anos,1,50084
rivadavia,66,mendoza,2022,15,dengue,9,de 35 a 44 anos,2,50084
rivadavia,66,mendoza,2022,17,dengue,9,de 35 a 44 anos,1,50084
rivadavia,66,mendoza,2022,19,dengue,9,de 35 a 44 anos,2,50084
rivadavia,66,mendoza,2022,20,dengue,9,de 35 a 44 anos,1,50084
rivadavia,66,mendoza,2022,14,dengue,10,de 45 a 65 anos,2,50084
rivadavia,66,mendoza,2022,16,dengue,10,de 45 a 65 anos,1,50084
rivadavia,66,mendoza,2022,17,dengue,10,de 45 a 65 anos,1,50084
rivadavia,66,mendoza,2022,18,dengue,10,de 45 a 65 anos,2,50084
rivadavia,66,mendoza,2022,12,dengue,11,mayores de 65 anos,1,50084
rivadavia,66,mendoza,2022,14,dengue,11,mayores de 65 anos,1,50084
rivadavia,66,mendoza,2022,15,dengue,11,mayores de 65 anos,2,50084
rivadavia,66,mendoza,2022,16,dengue,11,mayores de 65 anos,1,50084
rivadavia,66,mendoza,2022,17,dengue,11,mayores de 65 anos,4,50084
rivadavia,66,mendoza,2022,18,dengue,11,mayores de 65 anos,2,50084
rivadavia,66,mendoza,2022,22,dengue,11,mayores de 65 anos,1,50084
rivadavia,66,mendoza,2022,11,dengue,11,mayores de 65 anos,1,50084
rivadavia,66,mendoza,2022,14,dengue,2,de 13 a 24 meses,1,50084
la capital,74,santa fe,2022,8,dengue,9,de 35 a 44 anos,1,82063
castellanos,82,santa fe,2022,19,dengue,6,de 15 a 19 anos,1,82021
castellanos,82,santa fe,2022,11,dengue,7,de 20 a 24 anos,1,82021
castellanos,82,santa fe,2022,12,dengue,8,de 25 a 34 anos,1,82021
castellanos,82,santa fe,2022,15,dengue,8,de 25 a 34 anos,1,82021
castellanos,82,santa fe,2022,10,dengue,9,de 35 a 44 anos,1,82021
castellanos,82,santa fe,2022,11,dengue,9,de 35 a 44 anos,1,82021
castellanos,82,santa fe,2022,20,dengue,9,de 35 a 44 anos,1,82021
castellanos,82,santa fe,2022,11,dengue,10,de 45 a 65 anos,1,82021
castellanos,82,santa fe,2022,13,dengue,10,de 45 a 65 anos,1,82021
castellanos,82,santa fe,2022,14,dengue,10,de 45 a 65 anos,1,82021
castellanos,82,santa fe,2022,18,dengue,10,de 45 a 65 anos,1,82021
castellanos,82,santa fe,2022,19,dengue,10,de 45 a 65 anos,1,82021
castellanos,82,santa fe,2022,20,dengue,10,de 45 a 65 anos,1,82021
castellanos,82,santa fe,2022,9,dengue,11,mayores de 65 anos,2,82021
castellanos,82,santa fe,2022,10,dengue,11,mayores de 65 anos,1,82021
castellanos,82,santa fe,2022,13,dengue,11,mayores de 65 anos,1,82021
castellanos,82,santa fe,2022,14,dengue,11,mayores de 65 anos,1,82021
castellanos,82,santa fe,2022,18,dengue,11,mayores de 65 anos,1,82021
constitucion,82,santa fe,2022,20,dengue,10,de 45 a 65 anos,1,82028
la capital,82,santa fe,2022,17,dengue,11,mayores de 65 anos,1,82063
rosario,82,santa fe,2022,20,dengue,8,de 25 a 34 anos,1,82084
rosario,82,santa fe,2022,5,dengue,9,de 35 a 44 anos,1,82084
rosario,82,santa fe,2022,28,dengue,10,de 45 a 65 anos,1,82084
san lorenzo,82,chaco,2022,15,dengue,10,de 45 a 65 anos,1,22147
san lorenzo,82,chaco,2022,29,dengue,10,de 45 a 65 anos,1,22147
san lorenzo,82,chaco,2022,14,dengue,11,mayores de 65 anos,1,22147
san martin,82,corrientes,2022,13,dengue,9,de 35 a 44 anos,1,18147
banda,86,santiago del estero,2022,14,dengue,10,de 45 a 65 anos,1,86035
banda,86,santiago del estero,2022,16,dengue,10,de 45 a 65 anos,1,86035
banda,86,santiago del estero,2022,6,dengue,11,mayores de 65 anos,1,86035
santiago del estero capital,86,santiago del estero,2022,14,dengue,10,de 45 a 65 anos,1,86049
