Nombre,Código UTA 2020,Latitud,Longitud,Provincia,Población INDEC,Hogares con agua de red pública,Hogares con desague de cloaca a red pública,Hogares con red de gas,Hogares con heladera,"Total de hogares para variable agua de red pública, gas y heladera",Total de hogares para variable cloaca a red pública,Hogares con tenencia irregular de terreno o vivienda,Cantidad total de viviendas,Hogares con déficit habitacional cuantitativo simple,Hogares con déficit habitacional cuantitativo compuesto,Viviendas irrecuperables,Hogares con Necesidades Básicas Insatisfechas,Hogares con hacinamiento crítico
san antonio de areco,6735,-34.2881384,-59.5070413,buenos aires,23138.0,77.0,29.0,54.0,96.0,7191.0,7221.0,9.0,6845.0,4.0,5.0,76.0,3.0,2.0
belgrano,82007,-32.7494032,-61.5381149,santa fe,44788.0,73.0,58.0,53.0,97.0,14481.0,14509.0,9.0,13675.0,5.0,6.0,123.0,4.0,2.0
san justo,14140,-31.234003736,-62.740666131,cordoba,206307.0,86.0,31.0,29.0,97.0,66832.0,67001.0,8.0,64404.0,3.0,4.0,525.0,4.0,2.0
trancas,90112,-26.385499954,-65.363098145,tucuman,17371.0,75.0,0.0,16.0,77.0,4441.0,4457.0,31.0,4204.0,5.0,17.0,541.0,23.0,7.0
fray justo santa maria de oro,22043,-27.867498663,-61.325403043,chaco,11826.0,0.0,0.0,0.0,74.0,3229.0,3246.0,25.0,3077.0,4.0,17.0,409.0,24.0,7.0
angaco,70014,-31.45675103,-68.34171324,san juan,8125.0,86.0,5.0,0.0,89.0,2015.0,2018.0,34.0,1878.0,6.0,20.0,277.0,16.0,6.0
capayan,10042,-29.025346811,-66.003835459,catamarca,16085.0,81.0,0.0,0.0,86.0,3927.0,3939.0,10.0,3779.0,3.0,7.0,133.0,14.0,7.0
campana,6126,-34.059934,-58.836065,buenos aires,94461.0,89.0,50.0,66.0,96.0,28111.0,28154.0,12.0,25977.0,7.0,8.0,1101.0,8.0,3.0
san pedro,38063,-24.408639908,-64.621589661,jujuy,75037.0,92.0,62.0,36.0,85.0,19616.0,19645.0,16.0,18004.0,8.0,14.0,1288.0,16.0,7.0
federal,30035,-30.971937142,-58.993275987,entre rios,25863.0,83.0,53.0,4.0,85.0,7408.0,7428.0,18.0,7222.0,2.0,7.0,393.0,12.0,6.0
deseado,78014,-47.887138367,-66.951148987,santa cruz,107630.0,97.0,76.0,95.0,94.0,32187.0,32350.0,10.0,29629.0,7.0,11.0,1153.0,9.0,4.0
copo,86056,-25.72948778,-63.46601397,santiago del estero,31404.0,64.0,0.0,0.0,70.0,7522.0,7550.0,19.0,6659.0,11.0,12.0,1556.0,32.0,7.0
guamini,6399,-36.894233704,-62.356311798,buenos aires,11826.0,78.0,46.0,44.0,95.0,4224.0,4250.0,11.0,4134.0,2.0,3.0,47.0,2.0,0.0
la capital,82063,-31.188581467,-60.626773834,santa fe,525093.0,86.0,49.0,45.0,95.0,165133.0,165382.0,15.0,153098.0,7.0,8.0,2630.0,5.0,3.0
la candelaria,66084,-26.14426,-65.0142,salta,5704.0,79.0,3.0,0.0,74.0,1469.0,1477.0,23.0,1366.0,7.0,15.0,120.0,17.0,8.0
minas,14070,-30.849700273,-65.365090379,cordoba,4727.0,53.0,0.0,0.0,77.0,1495.0,1501.0,18.0,1447.0,3.0,12.0,139.0,22.0,5.0
norquin,58084,-37.357940674,-70.870056152,neuquen,4692.0,71.0,31.0,30.0,73.0,1380.0,1410.0,16.0,1267.0,8.0,16.0,120.0,17.0,5.0
santa catalina,38077,-22.051202774,-65.841766357,jujuy,2800.0,57.0,0.0,0.0,16.0,846.0,854.0,23.0,759.0,10.0,46.0,305.0,24.0,4.0
sarmiento,70105,-32.02091413,-68.39270346,san juan,22131.0,79.0,13.0,0.0,85.0,5224.0,5230.0,27.0,4830.0,7.0,17.0,521.0,20.0,10.0
humahuaca,38028,-22.96907829,-65.43667552,jujuy,17366.0,81.0,46.0,15.0,60.0,4742.0,4796.0,19.0,4422.0,6.0,19.0,610.0,19.0,6.0
adolfo gonzales chaves,6014,-37.854450226,-59.95879364,buenos aires,12047.0,84.0,40.0,78.0,97.0,6237.0,4208.0,10.0,4090.0,2.0,3.0,40.0,2.0,1.0
antofagasta de la sierra,10028,-25.246114731,-67.520767212,catamarca,1436.0,78.0,25.0,0.0,39.0,365.0,383.0,11.0,356.0,2.0,53.0,188.0,17.0,2.0
bariloche,62021,-41.898146079,-71.503164693,rio negro,133500.0,90.0,51.0,80.0,92.0,41976.0,42396.0,15.0,40123.0,4.0,11.0,2970.0,10.0,3.0
anta,66007,-24.250011444,-64.140953064,salta,57411.0,85.0,33.0,0.0,73.0,13688.0,13726.0,23.0,12489.0,8.0,23.0,1988.0,27.0,10.0
sargento cabral,22154,-26.599502096,-59.748676426,chaco,15889.0,73.0,4.0,0.0,72.0,4367.0,4378.0,25.0,4068.0,6.0,12.0,263.0,20.0,7.0
carlos tejedor,6154,-35.263763428,-62.677410126,buenos aires,11570.0,62.0,0.0,54.0,96.0,3976.0,3985.0,11.0,3832.0,3.0,4.0,44.0,3.0,1.0
san luis del palmar,18140,-27.41325145,-58.37888858,corrientes,17590.0,69.0,25.0,0.0,78.0,4417.0,4423.0,27.0,4253.0,3.0,16.0,554.0,16.0,7.0
mar chiquita,6518,-37.4842367,-57.4365959,buenos aires,21279.0,54.0,27.0,76.0,96.0,7115.0,7146.0,12.0,6905.0,2.0,5.0,156.0,5.0,2.0
libertador general san martin,74063,-32.771430969,-65.766944885,san luis,4707.0,35.0,4.0,0.0,71.0,1530.0,1533.0,19.0,1458.0,4.0,16.0,182.0,33.0,4.0
concordia,30015,-31.352304459,-58.05355072,entre rios,170033.0,94.0,75.0,16.0,92.0,47982.0,48090.0,20.0,44961.0,6.0,15.0,4352.0,14.0,5.0
arauco,46007,-28.39283371,-66.568237305,la rioja,15418.0,88.0,5.0,0.0,91.0,4109.0,4118.0,11.0,3917.0,4.0,8.0,149.0,12.0,6.0
santa lucia,70098,-31.509735114,-68.502685795,san juan,48087.0,96.0,53.0,58.0,95.0,12724.0,12736.0,20.0,11291.0,11.0,16.0,611.0,8.0,4.0
san andres de giles,6728,-34.387887,-59.4326743,buenos aires,23027.0,58.0,26.0,51.0,97.0,7284.0,7297.0,11.0,7043.0,3.0,6.0,212.0,5.0,2.0
aguirre,86007,-28.968503224,-62.900291325,santiago del estero,7610.0,70.0,0.0,0.0,75.0,2087.0,2097.0,15.0,2023.0,3.0,16.0,279.0,17.0,7.0
union,14182,-33.4792553,-62.9564065,cordoba,105727.0,92.0,31.0,50.0,97.0,34669.0,34760.0,9.0,33807.0,2.0,3.0,316.0,4.0,2.0
comuna 11,2011,-34.6042463,-58.490676432,ciudad de buenos aires,189832.0,99.0,99.0,98.0,99.0,71096.0,71545.0,10.0,68652.0,4.0,4.0,169.0,2.0,0.0
uruguay,30098,-32.380954743,-58.236881266,entre rios,100728.0,87.0,75.0,24.0,96.0,32573.0,32645.0,12.0,30893.0,5.0,7.0,912.0,5.0,2.0
maraco,42105,-35.48140196,-63.49637054,la pampa,59024.0,92.0,88.0,93.0,98.0,19703.0,19742.0,6.0,19104.0,3.0,3.0,145.0,3.0,1.0
