departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original
comuna 4,2,ciudad de buenos aires,2018,16,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,60
comuna 4,2,ciudad de buenos aires,2018,16,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,61
comuna 4,2,ciudad de buenos aires,2018,17,dengue,5,de 10 a 14 anos,1,comuna 4,ciudad de buenos aires,62
comuna 4,2,ciudad de buenos aires,2018,17,dengue,6,de 15 a 19 anos,2,comuna 4,ciudad de buenos aires,63
comuna 4,2,ciudad de buenos aires,2018,17,dengue,8,de 25 a 34 anos,2,comuna 4,ciudad de buenos aires,64
comuna 4,2,ciudad de buenos aires,2018,17,dengue,9,de 35 a 44 anos,3,comuna 4,ciudad de buenos aires,65
comuna 4,2,ciudad de buenos aires,2018,17,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,66
comuna 4,2,ciudad de buenos aires,2018,18,dengue,6,de 15 a 19 anos,5,comuna 4,ciudad de buenos aires,67
comuna 4,2,ciudad de buenos aires,2018,18,dengue,8,de 25 a 34 anos,3,comuna 4,ciudad de buenos aires,68
comuna 4,2,ciudad de buenos aires,2018,18,dengue,9,de 35 a 44 anos,2,comuna 4,ciudad de buenos aires,69
comuna 4,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,4,comuna 4,ciudad de buenos aires,70
comuna 4,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,2,comuna 4,ciudad de buenos aires,71
comuna 4,2,ciudad de buenos aires,2018,19,dengue,5,de 10 a 14 anos,1,comuna 4,ciudad de buenos aires,72
comuna 4,2,ciudad de buenos aires,2018,19,dengue,8,de 25 a 34 anos,1,comuna 4,ciudad de buenos aires,73
comuna 4,2,ciudad de buenos aires,2018,19,dengue,10,de 45 a 65 anos,2,comuna 4,ciudad de buenos aires,74
comuna 4,2,ciudad de buenos aires,2018,21,dengue,11,mayores de 65 anos,2,comuna 4,ciudad de buenos aires,75
comuna 4,2,ciudad de buenos aires,2018,24,dengue,6,de 15 a 19 anos,1,comuna 4,ciudad de buenos aires,76
comuna 5,2,ciudad de buenos aires,2018,11,dengue,10,de 45 a 65 anos,1,comuna 5,ciudad de buenos aires,77
comuna 5,2,ciudad de buenos aires,2018,23,dengue,8,de 25 a 34 anos,1,comuna 5,ciudad de buenos aires,78
comuna 6,2,ciudad de buenos aires,2018,13,dengue,11,mayores de 65 anos,1,comuna 6,ciudad de buenos aires,79
comuna 6,2,ciudad de buenos aires,2018,19,dengue,10,de 45 a 65 anos,1,comuna 6,ciudad de buenos aires,80
