departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
comuna 10,2,ciudad de buenos aires,2023,20,dengue,7,de 20 a 24 anos,4,comuna 10,ciudad de buenos aires,11279,2010,170811
comuna 5,2,ciudad de buenos aires,2023,20,dengue,11,mayores de 65 anos,1,comuna 5,ciudad de buenos aires,11280,2005,187907
trancas,90,tucuman,2023,20,dengue,11,mayores de 65 anos,1,trancas,tucuman,11281,90112,22380
almirante brown,22,buenos aires,2023,20,dengue,7,de 20 a 24 anos,14,almirante brown,chaco,11282,6028,608878
maipu,22,buenos aires,2023,20,dengue,10,de 45 a 65 anos,4,maipu,chaco,11283,6511,10435
rivadavia,66,mendoza,2023,20,dengue,9,de 35 a 44 anos,14,rivadavia,salta,11285,50084,65149
moreno,6,buenos aires,2023,20,dengue,4,de 5 a 9 anos,1,moreno,buenos aires,11286,6560,566103
chicligasta,90,tucuman,2023,20,dengue,10,de 45 a 65 anos,2,chicligasta,tucuman,11287,90021,97745
cordoba capital,14,cordoba,2023,20,dengue,11,mayores de 65 anos,29,cordoba capital,cordoba,11288,14014,1474541
leandro n alem,54,buenos aires,2023,20,dengue,11,mayores de 65 anos,1,leandro n alem,misiones,11289,6462,17580
burruyacu,90,tucuman,2023,20,dengue,7,de 20 a 24 anos,2,burruyacu,tucuman,11290,90007,47306
quitilipi,22,chaco,2023,20,dengue,6,de 15 a 19 anos,4,quitilipi,chaco,11292,22133,39773
rio cuarto,14,cordoba,2023,20,dengue,11,mayores de 65 anos,2,rio cuarto,cordoba,11293,14098,284887
general obligado,82,santa fe,2023,20,dengue,6,de 15 a 19 anos,24,general obligado,santa fe,11294,82049,205315
robles,86,santiago del estero,2023,20,dengue,9,de 35 a 44 anos,1,robles,santiago del estero,11295,86161,52812
jimenez,86,santiago del estero,2023,20,dengue,8,de 25 a 34 anos,2,jimenez,santiago del estero,11296,86091,16654
yerba buena,90,tucuman,2023,20,dengue,5,de 10 a 14 anos,2,yerba buena,tucuman,11297,90119,102273
san pedro,38,buenos aires,2023,20,dengue,7,de 20 a 24 anos,3,san pedro,jujuy,11298,6770,64827
castellanos,82,santa fe,2023,20,dengue,8,de 25 a 34 anos,2,castellanos,santa fe,11299,82021,213548
quilmes,6,buenos aires,2023,20,dengue,10,de 45 a 65 anos,2,quilmes,buenos aires,11300,6658,686466
fray justo santa maria de oro,22,chaco,2023,20,dengue,2,de 13 a 24 meses,1,fray justo santa maria de oro,chaco,11301,22043,14992
9 de julio,22,santa fe,2023,20,dengue,6,de 15 a 19 anos,3,9 de julio,chaco,11302,82077,34502
eldorado,54,misiones,2023,20,dengue,6,de 15 a 19 anos,1,eldorado,misiones,11303,54042,93613
leales,90,tucuman,2023,21,dengue,9,de 35 a 44 anos,2,leales,tucuman,11304,90056,64792
rosario,82,santa fe,2023,21,dengue,8,de 25 a 34 anos,5,rosario,santa fe,11305,82084,1310461
san fernando,22,chaco,2023,21,dengue,7,de 20 a 24 anos,29,san fernando,chaco,11306,22140,454478
fray justo santa maria de oro,22,chaco,2023,21,dengue,9,de 35 a 44 anos,1,fray justo santa maria de oro,chaco,11307,22043,14992
santa rosa,10,mendoza,2023,21,dengue,11,mayores de 65 anos,1,santa rosa,catamarca,11308,50112,18035
tucuman capital,90,tucuman,2023,21,dengue,7,de 20 a 24 anos,11,tucuman capital,tucuman,11309,90084,617384
alumine,58,neuquen,2023,21,dengue,10,de 45 a 65 anos,1,alumine,neuquen,11310,58007,12749
la rioja capital,46,la rioja,2023,21,dengue,11,mayores de 65 anos,2,la rioja capital,la rioja,11311,46014,234308
castellanos,82,santa fe,2023,21,dengue,9,de 35 a 44 anos,7,castellanos,santa fe,11312,82021,213548
fray justo santa maria de oro,22,chaco,2023,21,dengue,10,de 45 a 65 anos,2,fray justo santa maria de oro,chaco,11313,22043,14992
anta,66,salta,2023,21,dengue,11,mayores de 65 anos,3,anta,salta,11314,66007,71843
chicligasta,90,tucuman,2023,21,dengue,6,de 15 a 19 anos,2,chicligasta,tucuman,11315,90021,97745
general taboada,86,santiago del estero,2023,21,dengue,10,de 45 a 65 anos,1,general taboada,santiago del estero,11316,86077,41146
leandro n alem,54,buenos aires,2023,21,dengue,10,de 45 a 65 anos,1,leandro n alem,misiones,11317,6462,17580
leales,90,tucuman,2023,21,dengue,5,de 10 a 14 anos,2,leales,tucuman,11318,90056,64792
monteros,90,tucuman,2023,21,dengue,9,de 35 a 44 anos,1,monteros,tucuman,11319,90070,78188
tucuman capital,90,tucuman,2023,21,dengue,10,de 45 a 65 anos,24,tucuman capital,tucuman,11320,90084,617384
la candelaria,66,salta,2023,21,dengue,11,mayores de 65 anos,1,la candelaria,salta,11321,66084,6628
ledesma,38,jujuy,2023,21,dengue,7,de 20 a 24 anos,1,ledesma,jujuy,11322,38035,90783
quitilipi,22,chaco,2023,21,dengue,7,de 20 a 24 anos,3,quitilipi,chaco,11323,22133,39773
comuna 5,2,ciudad de buenos aires,2023,21,dengue,6,de 15 a 19 anos,1,comuna 5,ciudad de buenos aires,11324,2005,187907
lules,90,tucuman,2023,21,dengue,10,de 45 a 65 anos,1,lules,tucuman,11325,90063,95259
famailla,90,tucuman,2023,21,dengue,9,de 35 a 44 anos,2,famailla,tucuman,11326,90028,44083
mayor luis j fontana,22,chaco,2023,21,dengue,9,de 35 a 44 anos,9,mayor luis j fontana,chaco,11327,22098,61036
ituzaingo,18,corrientes,2023,21,dengue,11,mayores de 65 anos,2,ituzaingo,corrientes,11328,18084,34110
cruz alta,90,tucuman,2023,21,dengue,6,de 15 a 19 anos,2,cruz alta,tucuman,11329,90014,229688
santiago del estero capital,86,santiago del estero,2023,21,dengue,5,de 10 a 14 anos,11,santiago del estero capital,santiago del estero,11330,86049,306825
copo,86,santiago del estero,2023,21,dengue,10,de 45 a 65 anos,1,copo,santiago del estero,11331,86056,39963
rivadavia,66,mendoza,2023,21,dengue,5,de 10 a 14 anos,3,rivadavia,salta,11332,50084,65149
jimenez,86,santiago del estero,2023,21,dengue,11,mayores de 65 anos,2,jimenez,santiago del estero,11333,86091,16654
catamarca capital,10,catamarca,2023,21,dengue,10,de 45 a 65 anos,5,catamarca capital,catamarca,11334,10049,188824
anta,66,salta,2023,21,dengue,10,de 45 a 65 anos,15,anta,salta,11335,66007,71843
figueroa,86,santiago del estero,2023,21,dengue,8,de 25 a 34 anos,1,figueroa,santiago del estero,11336,86070,18687
el carmen,38,jujuy,2023,21,dengue,11,mayores de 65 anos,4,el carmen,jujuy,11337,38014,122041
santiago del estero capital,86,santiago del estero,2023,21,dengue,8,de 25 a 34 anos,44,santiago del estero capital,santiago del estero,11338,86049,306825
cordoba capital,14,cordoba,2023,21,dengue,4,de 5 a 9 anos,2,cordoba capital,cordoba,11339,14014,1474541
yerba buena,90,tucuman,2023,21,dengue,7,de 20 a 24 anos,1,yerba buena,tucuman,11340,90119,102273
ituzaingo,18,corrientes,2023,21,dengue,11,mayores de 65 anos,1,ituzaingo,corrientes,11341,18084,34110
copo,86,santiago del estero,2023,21,dengue,9,de 35 a 44 anos,1,copo,santiago del estero,11342,86056,39963
comandante fernandez,22,chaco,2023,21,dengue,11,mayores de 65 anos,7,comandante fernandez,chaco,11343,22021,118660
san justo,14,cordoba,2023,21,dengue,8,de 25 a 34 anos,1,san justo,cordoba,11345,14140,234432
banda,86,santiago del estero,2023,21,dengue,8,de 25 a 34 anos,10,banda,santiago del estero,11346,86035,169458
o higgins,22,chaco,2023,21,dengue,8,de 25 a 34 anos,1,o higgins,chaco,11347,22112,22092
