departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
38035,ledesma,38,jujuy,2019,16,dengue,7,de 20 a 24 anos,6
38035,ledesma,38,jujuy,2019,17,dengue,7,de 20 a 24 anos,6
38035,ledesma,38,jujuy,2019,18,dengue,7,de 20 a 24 anos,5
38035,ledesma,38,jujuy,2019,19,dengue,7,de 20 a 24 anos,6
38035,ledesma,38,jujuy,2019,20,dengue,7,de 20 a 24 anos,9
38035,ledesma,38,jujuy,2019,21,dengue,7,de 20 a 24 anos,4
38035,ledesma,38,jujuy,2019,22,dengue,7,de 20 a 24 anos,2
38035,ledesma,38,jujuy,2019,23,dengue,7,de 20 a 24 anos,3
38035,ledesma,38,jujuy,2019,24,dengue,7,de 20 a 24 anos,1
38035,ledesma,38,jujuy,2019,17,dengue,8,de 25 a 34 anos,1
38035,ledesma,38,jujuy,2019,23,dengue,8,de 25 a 34 anos,1
38035,ledesma,38,jujuy,2019,9,dengue,8,de 25 a 34 anos,1
38035,ledesma,38,jujuy,2019,10,dengue,8,de 25 a 34 anos,5
38035,ledesma,38,jujuy,2019,11,dengue,8,de 25 a 34 anos,4
38035,ledesma,38,jujuy,2019,12,dengue,8,de 25 a 34 anos,3
38035,ledesma,38,jujuy,2019,13,dengue,8,de 25 a 34 anos,3
38035,ledesma,38,jujuy,2019,14,dengue,8,de 25 a 34 anos,6
38035,ledesma,38,jujuy,2019,15,dengue,8,de 25 a 34 anos,8
38035,ledesma,38,jujuy,2019,16,dengue,8,de 25 a 34 anos,10
38035,ledesma,38,jujuy,2019,17,dengue,8,de 25 a 34 anos,10
38035,ledesma,38,jujuy,2019,18,dengue,8,de 25 a 34 anos,14
38035,ledesma,38,jujuy,2019,19,dengue,8,de 25 a 34 anos,17
38035,ledesma,38,jujuy,2019,20,dengue,8,de 25 a 34 anos,15
38035,ledesma,38,jujuy,2019,21,dengue,8,de 25 a 34 anos,8
38035,ledesma,38,jujuy,2019,22,dengue,8,de 25 a 34 anos,3
38035,ledesma,38,jujuy,2019,23,dengue,8,de 25 a 34 anos,1
38035,ledesma,38,jujuy,2019,24,dengue,8,de 25 a 34 anos,1
38035,ledesma,38,jujuy,2019,25,dengue,8,de 25 a 34 anos,1
38035,ledesma,38,jujuy,2019,13,dengue,9,de 35 a 44 anos,1
38035,ledesma,38,jujuy,2019,8,dengue,9,de 35 a 44 anos,1
38035,ledesma,38,jujuy,2019,11,dengue,9,de 35 a 44 anos,1
38035,ledesma,38,jujuy,2019,12,dengue,9,de 35 a 44 anos,1
38035,ledesma,38,jujuy,2019,13,dengue,9,de 35 a 44 anos,2
38035,ledesma,38,jujuy,2019,14,dengue,9,de 35 a 44 anos,4
38035,ledesma,38,jujuy,2019,15,dengue,9,de 35 a 44 anos,8
38035,ledesma,38,jujuy,2019,16,dengue,9,de 35 a 44 anos,3
38035,ledesma,38,jujuy,2019,17,dengue,9,de 35 a 44 anos,10
38035,ledesma,38,jujuy,2019,18,dengue,9,de 35 a 44 anos,12
38035,ledesma,38,jujuy,2019,19,dengue,9,de 35 a 44 anos,16
38035,ledesma,38,jujuy,2019,20,dengue,9,de 35 a 44 anos,15
38035,ledesma,38,jujuy,2019,21,dengue,9,de 35 a 44 anos,5
38035,ledesma,38,jujuy,2019,22,dengue,9,de 35 a 44 anos,1
38035,ledesma,38,jujuy,2019,23,dengue,9,de 35 a 44 anos,1
38035,ledesma,38,jujuy,2019,25,dengue,9,de 35 a 44 anos,1
38035,ledesma,38,jujuy,2019,9,dengue,10,de 45 a 65 anos,2
38035,ledesma,38,jujuy,2019,10,dengue,10,de 45 a 65 anos,3
38035,ledesma,38,jujuy,2019,11,dengue,10,de 45 a 65 anos,3
38035,ledesma,38,jujuy,2019,12,dengue,10,de 45 a 65 anos,2
38035,ledesma,38,jujuy,2019,13,dengue,10,de 45 a 65 anos,8
38035,ledesma,38,jujuy,2019,14,dengue,10,de 45 a 65 anos,7
